"country","year","corporate_rate_rank","corporate_rate","cost_recovery_rank","cost_recovery","incentives_rank","incentives","consumption_tax_rate_rank","consumption_tax_rate","consumption_tax_base_rank","consumption_tax_base","real_property_tax_rank","real_property_tax","wealth_taxes_rank","wealth_taxes","capital_taxes_rank","capital_taxes","capital_gains_and_dividends_rank","capital_gains_and_dividends","income_tax_rank","income_tax","territorial_rank","territorial","withholding_taxes_rank","withholding_taxes","tax_treaties_rank","tax_treaties","international_regulations_rank","international_regulations","ISO_2","ISO_3"
"Australia",2021,34,25.2701838308614,24,37.2064248525231,9,89.4665948640911,3,89.4584397040243,29,50.4676299040799,2,82.9068221101704,1,100,14,65.1733728175226,20,60.4022801081279,26,51.8046597970885,1,100,27,40.8335441890027,33,41.384847371674,4,77.3545460290766,"AU","AUS"
"Austria",2021,21,43.0629972044658,7,49.3304916985937,25,64.0020959692509,15,48.9139770271945,16,65.4717414876646,27,48.1109714660677,1,100,14,65.1733728175226,24,53.3796912696856,37,27.4243302057205,1,100,16,59.1863126164848,11,71.7268087322192,8,57.2672450918634,"AT","AUT"
"Belgium",2021,21,43.0629972044658,5,59.2596671824432,23,69.4922074816897,20,44.8595307595116,22,56.3055994740557,23,62.0533930690837,33,48.8996853585473,26,48.8367598174512,14,76.6841164693389,20,54.7798337451538,1,100,36,25.9386431895907,7,75.8643489177481,8,57.2672450918634,"BE","BEL"
"Canada",2021,27,38.9706501285368,30,34.0493194481785,14,83.9226974241391,6,79.7277686615851,19,60.2650379205544,33,37.889541063676,1,100,29,47.3486667051353,33,42.0776414062007,29,46.6390902701864,31,69.740221180426,31,38.2822026579922,4,76.5539389486696,4,77.3545460290766,"CA","CAN"
"Chile",2021,2,96.4414373252791,3,68.1091803705167,20,77.085223914865,12,52.9684232948775,3,83.604955090733,19,65.8057543038432,10,69.9587627149608,6,84.6993600548321,35,35.7213518105845,18,56.6682115992875,35,28.042505129447,35,31.182819237194,36,33.1097670006162,22,54.7090919902168,"CL","CHL"
"Colombia",2021,36,21.7116211561405,32,29.5402958532493,24,67.1062085229513,12,52.9684232948775,20,59.8054786500297,20,64.3070504453594,31,57.881845287173,23,64.1373997626191,2,97.700225605479,1,100,28,76.4835503229088,28,40.4908013114802,37,16.5596062585006,22,54.7090919902168,"CO","COL"
"Czech Republic",2021,5,64.4143732527912,20,39.4556802002318,10,86.3250529814517,20,44.8595307595116,23,55.171892234331,5,74.4833273447807,10,69.9587627149608,1,100,3,91.8901274675961,3,93.6234938054883,15,81.4984460189716,13,62.9693215947953,11,71.7268087322192,8,57.2672450918634,"CZ","CZE"
"Denmark",2021,16,53.7386852286285,29,34.5369534809462,5,94.8256957227114,34,28.6417456887797,4,79.5998699746059,24,58.3477123051121,10,69.9587627149608,8,80.4740127626905,36,25.0564736571608,28,50.5758989297044,15,81.4984460189716,24,45.6883383390331,21,62.0725482993184,31,34.6217910530036,"DK","DNK"
"Estonia",2021,10,60.8558105780703,1,100,2,99.6304068373365,15,48.9139770271945,10,68.9533242620692,1,100,1,100,1,100,5,88.3043127451047,4,85.4063530345929,15,81.4984460189716,3,91.2061322419975,29,50.3495177736532,8,57.2672450918634,"EE","EST"
"Finland",2021,10,60.8558105780703,31,33.2593695110199,1,100,31,32.6961919564626,8,73.9949924081713,16,67.8559843277102,10,69.9587627149608,23,64.1373997626191,31,45.8531202172716,21,54.7623769126635,15,81.4984460189716,11,65.5206631258058,20,62.7621383302399,25,45.9445180724335,"FI","FIN"
"France",2021,31,30.9371948903544,13,44.8630885306923,37,28.8743889176472,15,48.9139770271945,35,33.6016395831485,28,46.7473910580025,33,48.8996853585473,26,48.8367598174512,34,40.6830764778641,36,32.5424777547247,27,77.179497497099,18,51.7289283761281,2,94.4832797526281,31,34.6217910530036,"FR","FRA"
"Germany",2021,33,25.4915940419199,10,46.6925951423431,12,85.9554598187882,12,52.9684232948775,13,67.45144930722,8,71.6751185089326,10,69.9587627149608,8,80.4740127626905,23,55.577182291347,12,59.432658287275,14,97.3272029555238,12,63.807904981849,4,76.5539389486696,8,57.2672450918634,"DE","DEU"
"Greece",2021,16,53.7386852286285,34,28.4674795180526,18,80.7811555414996,31,32.6961919564626,21,58.6505660795627,30,45.9400138376821,10,69.9587627149608,29,47.3486667051353,7,87.9335988425394,32,39.7744871283464,15,81.4984460189716,10,67.0181883948888,31,49.6599277427318,8,57.2672450918634,"GR","GRC"
"Hungary",2021,1,100,35,27.7627655228046,33,44.2125051681811,37,20.5328531534137,28,52.2520778406153,13,70.0258877180612,10,69.9587627149608,14,65.1733728175226,13,77.7962581770346,2,97.3362836929983,1,100,1,100,17,66.2100884848473,8,57.2672450918634,"HU","HUN"
"Iceland",2021,10,60.8558105780703,21,39.3017640127088,21,73.0196991255668,31,32.6961919564626,11,68.2365870385328,37,24.6165761900616,10,69.9587627149608,6,84.6993600548321,18,64.1229807089192,13,58.4497222778886,1,100,17,56.5837225261586,33,41.384847371674,31,34.6217910530036,"IS","ISL"
"Ireland",2021,3,87.5450306384769,23,37.3263528967172,27,60.8067681590982,28,36.7506382241456,33,40.4845229734193,14,68.2479279561444,10,69.9587627149608,23,64.1373997626191,37,24.3891886325433,27,50.7884019920765,34,51.5589548065382,23,46.4028617868464,22,60.6933682374755,2,97.4418469662898,"IE","IRL"
"Israel",2021,19,50.1801225539076,16,43.3808231039894,19,80.5800023615937,9,61.0773158302434,9,73.106235372407,29,46.0423953581721,1,100,8,80.4740127626905,30,47.3343582606392,33,36.9979539778097,1,100,33,37.3075659699866,29,50.3495177736532,2,97.4418469662898,"IL","ISR"
"Italy",2021,29,33.0634360885001,6,58.335877779092,31,49.3868094454697,26,40.8050844918286,36,27.2834214427797,34,35.8000026700907,33,48.8996853585473,32,46.3126936502318,21,56.3096792985675,17,57.2972498881955,25,78.8256489744954,30,38.8913444796128,3,79.3122990723555,31,34.6217910530036,"IT","ITA"
"Japan",2021,32,26.1954101262888,36,27.4001854138503,7,93.1625264907258,3,89.4584397040243,15,65.5178714014275,25,55.6371043576042,10,69.9587627149608,29,47.3486667051353,17,67.4045673012669,30,46.3932722326981,30,74.9865757622871,21,49.588903131048,23,58.624598144711,8,57.2672450918634,"JP","JPN"
"Korea",2021,28,34.1665905176636,15,44.399761965029,22,71.1553767136753,3,89.4584397040243,5,78.7005151641854,32,40.5195422958962,10,69.9587627149608,32,46.3126936502318,19,62.5425262409596,31,45.9482792420457,35,28.042505129447,24,45.6883383390331,8,74.4851688559051,25,45.9445180724335,"KR","KOR"
"Latvia",2021,10,60.8558105780703,1,100,2,99.6304068373365,20,44.8595307595116,27,52.426637946361,18,65.897639743945,1,100,8,80.4740127626905,5,88.3043127451047,7,79.25323995198,15,81.4984460189716,1,100,26,53.1078778973392,8,57.2672450918634,"LV","LVA"
"Lithuania",2021,4,78.6486239516747,4,61.9025759460624,28,59.8827852524395,20,44.8595307595116,32,41.2374888813801,11,71.325813338931,10,69.9587627149608,1,100,15,73.0983017468474,8,67.2603619192552,15,81.4984460189716,8,71.0899807236495,32,47.5911576499673,8,57.2672450918634,"LT","LTU"
"Luxembourg",2021,20,43.2765109649491,12,45.2701863703319,16,81.3191886869207,9,61.0773158302434,2,97.4260664863898,3,75.534318001268,10,69.9587627149608,14,65.1733728175226,9,85.8077230682932,23,52.7799035834987,1,100,4,87.331298981358,16,67.5892685466903,8,57.2672450918634,"LU","LUX"
"Mexico",2021,34,25.2701838308614,25,35.9289167511851,4,95.5648820480384,8,65.1317620979264,26,54.5130154779475,6,74.4001602359594,10,69.9587627149608,8,80.4740127626905,11,80.3219274665756,35,34.317196344309,35,28.042505129447,34,34.7095854189257,27,51.0391078045747,31,34.6217910530036,"MX","MEX"
"Netherlands",2021,21,43.0629972044658,27,34.9348294907665,26,63.9483100417376,20,44.8595307595116,12,68.0749007546097,21,64.0443889035103,10,69.9587627149608,14,65.1733728175226,26,50.6993622084849,25,52.0612810520616,1,100,4,87.331298981358,4,76.5539389486696,8,57.2672450918634,"NL","NLD"
"New Zealand",2021,30,32.3873091803032,37,26.7059702150794,10,86.3250529814517,7,69.1862083656094,1,100,10,71.5982660052079,1,100,1,100,4,91.6085344460579,10,65.7012246551409,1,100,20,50.3006205761534,35,37.9368972170665,4,77.3545460290766,"NZ","NZL"
"Norway",2021,16,53.7386852286285,26,35.522890353834,15,83.3683076801439,34,28.6417456887797,7,76.0607317405704,9,71.6081956632338,31,57.881845287173,8,80.4740127626905,32,45.2147912958681,9,67.0160972472914,24,80.6002612825986,6,78.8854983022634,13,70.3476286703762,25,45.9445180724335,"NO","NOR"
"Poland",2021,5,64.4143732527912,14,44.4787339666636,35,42.7341325175272,28,36.7506382241456,34,34.7491832243584,26,54.3439167231902,10,69.9587627149608,36,31.0120537050639,16,69.9829567666829,6,79.6048942846596,33,57.9819963418804,19,51.4703421943032,15,68.9684486085333,25,45.9445180724335,"PL","POL"
"Portugal",2021,37,19.9323398187801,9,46.8622986206966,29,54.7084809751509,28,36.7506382241456,14,66.5481058338675,17,66.2360794841586,10,69.9587627149608,14,65.1733728175226,25,52.4030285933916,34,36.1523110520919,15,81.4984460189716,31,38.2822026579922,19,64.1413183920829,25,45.9445180724335,"PT","PRT"
"Slovak Republic",2021,15,57.2972479033494,19,39.8266847381356,32,44.3598724205738,15,48.9139770271945,31,41.9781300041923,12,70.9160899282687,1,100,1,100,1,100,5,80.3200568098885,15,81.4984460189716,29,39.5811929335226,23,58.624598144711,37,23.2990641015101,"SK","SVK"
"Slovenia",2021,5,64.4143732527912,22,38.3541188912871,13,85.5858666561247,26,40.8050844918286,30,49.3464188374351,31,43.6733938041286,10,69.9587627149608,14,65.1733728175226,12,79.2184516357151,15,57.5738536805327,32,67.655335377877,13,62.9693215947953,27,51.0391078045747,4,77.3545460290766,"SI","SVN"
"Spain",2021,21,43.0629972044658,28,34.8147120054159,36,35.7118624269213,20,44.8595307595116,17,65.0652507888996,22,62.8596051731013,36,27.8406080021338,32,46.3126936502318,21,56.3096792985675,11,62.6273932714536,25,78.8256489744954,22,48.6975401410728,8,74.4851688559051,8,57.2672450918634,"ES","ESP"
"Sweden",2021,14,58.7206729732377,18,41.55235566099,8,91.8689504214037,34,28.6417456887797,6,78.5992453703802,15,68.1653968130027,1,100,14,65.1733728175226,29,48.4963778882158,19,56.550062112244,1,100,7,74.662597962716,17,66.2100884848473,31,34.6217910530036,"SE","SWE"
"Switzerland",2021,9,61.9286602874958,11,46.3959742671796,16,81.3191886869207,2,98.7836661196951,18,61.2126359572803,4,75.0081731316146,36,27.8406080021338,36,31.0120537050639,10,84.5050747927759,16,57.4609916300691,1,100,26,44.3736208741977,8,74.4851688559051,1,100,"CH","CHE"
"Turkey",2021,21,43.0629972044658,17,41.6270108520834,30,53.4523342347678,11,57.0228695625605,25,54.6597108507915,7,74.2818986400725,10,69.9587627149608,32,46.3126936502318,8,86.8214571348437,14,58.1147706868363,1,100,15,62.2961129656471,14,69.6580386394548,22,54.7090919902168,"TR","TUR"
"United Kingdom",2021,5,64.4143732527912,33,29.2111393521175,34,43.1037256801907,15,48.9139770271945,37,26.8282033283232,36,29.1510297433899,10,69.9587627149608,26,48.8367598174512,28,49.6810448095312,22,53.2645088914046,1,100,9,67.5173634845831,1,100,25,45.9445180724335,"GB","GBR"
"United States",2021,26,40.377819684127,8,47.6000110015566,6,94.6408991413797,1,100,24,54.7730100981084,35,35.0019348267063,10,69.9587627149608,14,65.1733728175226,27,50.6303572949813,24,52.1784085134167,28,76.4835503229088,36,25.9386431895907,25,55.8662380210251,8,57.2672450918634,"US","USA"
