"ISO-2","ISO-3","country","corprate","losscarryback","losscarryforward","pdvmachines","pdvbuildings","pdvintangibles","inventory","patentbox","rndcredit","corptime","profitpayments","otherpayments","incrate","progressivity","taxwedge","laborpayments","labortime","capgainsrate","capgainsindex","divrate","vatrate","threshold","base","consumptiontime","propertytaxes","propertytaxescollections","netwealth","estate/inheritance tax","transfertaxes","Assettaxes","capitalduties","financialtrans","dividendexempt","capgainsexemption","countrylimitations","divwithhold","intwithhold","roywithhold","taxtreaties","cfcrules","thincap"
"AU","AUS","Australia",0.3,0,100,0.851485,0.4793187,0.5479539,0.5,0,1,37,1,6,0.465,2.32037,1.444691983,4,18,0.245,0,0.27121,0.1,48730.64034,0.52,50,0,0.98576321,0,0,1,0,0,0,1,1,0,0.3,0.1,0.3,44,0.666666667,0.5
"AT","AUT","Austria",0.25,0,75,0.8134632,0.391406,0.7378887,1,0,1,47,1,8,0.5,14.163515,1.121477333,3,52,0.25,0,0.25,0.2,34987.89331,0.61,67,1,0.119586378,0,0,1,1,1,0,1,1,0,0.25,0,0.2,84,0,0.5
"BE","BEL","Belgium",0.3399,0,100,0.8822161,0.6224049,0.8698653,1,1,1,20,1,8,0.59447155,1.009416,1.200290991,2,40,0,1,0.25,0.21,6319.04976,0.47,75,0.5,0.604468428,0,1,1,0,0,1,0.95,0.987878788,0,0.25,0.25,0.25,91,0,0.5
"CA","CAN","Canada",0.262,3,20,0.9651163,0.2421053,0.5189655,0.5,0,1,45,1,4,0.495296,10.605125,1.205870245,3,36,0.225,0,0.338414,0.123209196,23453.72582,0.49,50,0.5,1.944461985,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,93,0.333333333,0.5
"CL","CHL","Chile",0.21,100,100,0.6326117,0.3384747,0,0.5,1,0,42,1,5,0.4,10.408629,1.154521947,1,124.5,0.2,0,0.24050633,0.19,0,0.59,124.5,1,0.574466503,0,1,0,1,0,0,0,0,1,0.35,0.35,0.3,25,0,0.5
"CZ","CZE","Czech Republic",0.19,0,5,0.8738791,0.5432228,0.8413188,0.5,0,1,53,1,5,0.311,0.40867,1.141031788,2,75,0.15,1,0.15,0.21,67707.95356,0.56,102,1,0.137982035,0,1,1,0,0,0,1,1,1,0.15,0.15,0.15,83,0,0.5
"DK","DNK","Denmark",0.245,0,60,0.8269231,0.4793187,0.8134064,0,0,0,27,3,6,0.55564,1.16303,1.249873679,1,65,0.42,0,0.42,0.25,5879.076387,0.59,40,0.5,0.714164569,0,1,0,0,0,0,1,1,1,0.27,0.25,0.25,73,0.833333333,0.5
"EE","EST","Estonia",0.21,100,100,1,1,1,1,0,0,20,1,7,0.2258,0.15036,1.055845295,0,34,0.21,0,0,0.2,25581.77657,0.76,27,0,0.206546843,0,0,0,0,0,0,1,0,1,0,0,0.1,51,0.666666667,0
"FI","FIN","Finland",0.2,0,10,0.8269231,0.5189655,0.7378887,0,0,0,21,1,4,0.56617293,2.535029,1.276059542,3,48,0.32,0,0.272,0.24,8589.472836,0.55,24,0.5,0.335116315,0,1,1,1,0,1,1,1,1,0.2,0,0.2,75,0.833333333,1
"FR","FRA","France",0.379962,1,50,0.857738,0.5479539,0.8698653,0.5,1,1,26,1,6,0.549345,15.274647,1.212460367,2,80,0.38,0,0.44001,0.2,93551.08764,0.46,31,1,1.420973805,1,1,1,1,1,1,0.95,0.88,1,0.3,0,0.3333,122,0.666666667,1
"DE","DEU","Germany",0.2972,1,60,0.7378887,0.391406,0.8698653,1,0,0,41,2,6,0.47475,5.77971,1.108496057,1,134,0.25,0,0.26375,0.19,21297.52221,0.56,43,1,0.271929255,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,94,0.5,1
"GR","GRC","Greece",0.26,0,5,0.7378887,0.4793187,0.7378887,1,0,1,78,1,6,0.46,5.346351,1.194700079,1,46,0.23,0,0.1,0.23,6677.549595,0.39,69,1,0.874252807,0,1,1,0,1,0,1,0,1,0.25,0.15,0.2,55,0.5,0.5
"HU","HUN","Hungary",0.19,0,50,0.8162004,0.2789584,0.8698653,0.5,1,1,35,2,8,0.345,0,1,2,146,0.16,0,0.16,0.27,42328.19865,0.63,96,1,0.316500757,0,1,1,1,0,1,1,1,0,0,0,0,73,0.833333333,0.5
"IS","ISL","Iceland",0.2,0,10,0.86,0.4777778,0.8122694,0,0,1,40,1,7,0.443712,1.387967,1.285526013,13,60,0.2,0,0.2,0.255,7006.497053,0.47,40,1,1.129258292,1,1,0,1,0,0,1,1,0,0.18,0.1,0.2,39,0.833333333,0
"IE","IRL","Ireland",0.125,3,100,0.7870752,0.4793187,0.7378887,0,0,1,10,1,7,0.52,0.971764,1.71375,1,40,0.33,0,0.51,0.23,78844.25615,0.46,30,0.5,0.423475829,0,1,1,0,0,0,0,1,1,0.2,0.2,0.2,68,0,0
"IL","ISR","Israel",0.265,0,100,0.8698653,0.5479539,0.7870752,0.5,0,0,110,2,14,0.5,6.307592,1.883201826,12,60,0.27,1,0.32,0.18,18611.87492,0.68,69,1,1.632326786,0,0,1,0,0,0,0,0,1,0.3,0.25,0.25,53,0.666666667,0
"IT","ITA","Italy",0.3129275,0,80,0.7602526,0.4626575,0.9651163,1,0,1,39,2,10,0.472611,10.005698,1.176347214,1,198,0.2,0,0.2,0.22,35990.67374,0.37,32,1,0.701417396,1,1,1,0,1,1,0.95,0.95,1,0.2,0.2,0.225,95,0.666666667,1
"JP","JPN","Japan",0.3699,0,7.2,0.7696023,0.2789584,0.7870752,1,0,1,102,2,13,0.510858,4.610718,1.135665429,14,74.5,0.204,0,0.20315,0.05,88240.34416,0.67,23,1,1.239532548,0,1,1,0,1,0,0.95,0,0,0.2,0.2,0.2,60,0.666666667,0.5
"KR","KOR","Korea",0.242,0.5,10,0.9217205,0.5479539,0.7378887,1,1,1,82,1,8,0.41914557,8.534901,1.274923977,2,80,0,1,0.35398,0.1,26238.6012,0.67,25,1,0.204320004,0,1,1,0,1,1,0,0,1,0.22,0.22,0.22,80,0.666666667,0.5
"LV","LVA","Latvia",0.15,0,100,0.905,0.6142,0.7378887,0.5,0,1,31,1,5,0.254,0.104378,1.03912148,1,99,0.15,0,0.1,0.21,0,0.6683419,94,0.5,0.40823072,0,0,1,0,0,0,1,1,1,0,0.05,0.05,56,0,0.5
"LT","LTU","Lithuania",NA,0,70,NA,NA,NA,1,0,1,32,1,8,NA,NA,NA,2,85,0.15,NA,NA,NA,NA,NA,58,0.5,NA,0,1,0,0,0,0,1,1,1,0.15,0.1,0.1,49,NA,0.5
"LU","LUX","Luxembourg",0.2922,0,100,0.8708695,0.4793187,0.8698653,1,1,1,19,5,6,0.45,3.048602,1.39072529,12,14,0,1,0.2,0.15,25182.62462,0.92,22,1,0.051397408,0,1,1,1,0,0,1,1,0,0.15,0,0,69,0,0.5
"MX","MEX","Mexico",0.3,0,10,0.7378887,0.5479539,0.7378887,1,0,1,150,1,3,0.3165,3.999949,1.267033618,2,38.5,0.1,1,0.17142857,0.16,0,0.31,100,0.5,0.176544945,0,1,1,0,0,0,0,0,1,0.1,0.4,0.4,50,1,0.5
"NL","NLD","Netherlands",0.25,1,9,0.9651163,0.3384747,0.7378887,1,1,0,22,1,7,0.81570593,1.215933,1.511497908,1,64,0.3,1,0.22,0.21,1537.193296,0.55,34,0.5,0.443063093,0,1,1,0,0,0,1,1,0,0.15,0,0,96,0,0
"NZ","NZL","New Zealand",0.28,0,100,0.7319149,0.3071429,0.7378887,0.5,0,0,34,1,5,0.33,1.314966,1.544159232,2,59,0,1,0.06944444,0.15,38134.00067,0.99,59,0,1.796296927,0,0,0,0,0,0,1,1,0,0.3,0.15,0.15,37,0.666666667,0.5
"NO","NOR","Norway",0.27,0,100,0.7818182,0.373913,0.7378887,0,0,1,24,1,2,0.478,1.578054,1.284782975,1,15,0.27,0,0.27,0.25,5181.61744,0.54,44,1,0.22121894,1,0,1,1,0,0,0.97,0.97,1,0.25,0,0,88,0.833333333,1
"PL","POL","Poland",0.19,0,2.5,0.7378887,0.3384747,0.8698653,1,0,0,70,1,16,0.38751185,2.416807,1.044397495,2,103,0.19,0,0.19,0.23,77747.20423,0.46,113,1,1.503902106,0,1,1,0,1,1,1,0,1,0.19,0.2,0.2,84,0,0.5
"PT","PRT","Portugal",0.315,0,8.4,0.8884112,0.5479539,0.7378887,0.5,0,1,63,1,6,0.61285,15.912636,1.331147146,1,116,0.28,1,0.28,0.23,14317.54964,0.44,96,0.5,0.337310073,0,1,1,1,0,1,1,0,1,0.25,0.25,0.25,61,0.833333333,1
"SK","SVK","Slovak Republic",0.22,0,4,0.8738791,0.6527281,0.8698653,0.5,0,1,42,1,20,0.3505,3.972201,1.128019614,1,62,0.22,0,0,0.2,86990.53295,0.48,103,0.5,0.327495207,0,0,0,1,0,0,1,0,1,0,0.19,0.19,66,0,0
"SI","SVN","Slovenia",0.17,0,50,0.8698653,0.391406,0.7378887,0.5,0,0,74,1,8,0.6105,5.390324,1.198258214,1,90,0,1,0.25,0.22,74142.10478,0.62,69,1,0.28913025,0,1,1,0,0,0,0.95,0.475,1,0.15,0.15,0.15,53,0,0.5
"ES","ESP","Spain",0.3,0,18,0.6950019,0.2913855,0.2789584,0.5,1,1,33,1,7,0.52,11.728847,1.126675225,1,90,0.27,0,0.27,0.21,0,0.34,44,1,0.488919995,1,1,1,0,1,0,1,1,1,0.21,0.21,0.2475,85,0.5,1
"SE","SWE","Sweden",0.22,1.5,100,0.86,0.4793187,0.86,0,0,0,50,1,4,0.5673,1.518355,1.223638909,1,36,0.3,0,0.3,0.25,0,0.57,36,0.5,0.509451727,0,0,1,0,0,0,1,1,0,0.3,0,0,79,0.666666667,0.5
"CH","CHE","Switzerland",0.21148581,0,7,0.86,0.5548387,0.9052632,1,0,0,15,2,10,0.41752888,3.325761,1.35931357,7,40,0,1,0.21135,0.08,63826.82681,0.71,8,1,0.08500741,1,1,1,1,1,1,1,1,0,0.35,0.35,0,89,0,0.5
"TR","TUR","Turkey",0.2,0,5,0.8763232,0.4793187,0.6323278,0.5,0,1,49,1,8,0.358,4.283921,1.181381759,1,80,0,1,0.175,0.18,0,0.34,97,0.5,0.232569344,0,1,1,0,1,1,1,1,0,0.15,0.1,0.2,80,0.666666667,0.5
"GB","GBR","United Kingdom",0.21,1,100,0.7588235,0,0.8269231,0,1,1,32,1,6,0.47,4.274984,1.376383913,1,48,0.28,0,0.3055625,0.2,102850.5599,0.47,25,0.5,2.183340309,0,1,1,1,0,1,1,1,0,0,0.2,0.2,123,0.666666667,0
"US","USA","United States",0.390755,2,20,0.8769255,0.3495831,0.6327513,1,0,1,87,2.4,4.6,0.486,8.305387,1.255952188,3.6,55,0.251,0,0.28583863,0.072,0,0.38,33,0.5,2.04170008,0,1,1,1,0,1,0,0,0,0.3,0.3,0.3,65,0.666666667,0.5
